"V1" "V2"
"18981" 9.96699318269735 9.18804881234647
"21572" 12.025418611138 -2.16680054522583
"123920" -10.7996775814937 -3.54799950933415
"105667" 1.25000787828555 -5.45392132015212
"4263" 5.66189681312729 -0.769295448329906
"19570" -11.8995260268087 -8.90253305572635
"86716" -11.16862812716 1.32556926626112
"72453" 3.24390672337932 6.49024596501376
"60317" -7.33233986333486 11.2792276437149
"164355" -3.90274989111953 -3.71195068188454
"156796" -1.75795708397307 -2.88946146734481
"45772" -2.5074314776113 0.469752680115543
"43721" -4.37689317308093 -2.1031977053365
"47951" -4.06075313464123 5.59824347402819
"113940" -7.80721380809965 -1.53573905041278
"92266" 6.09342465794788 9.94024648780626
"133756" -5.53662299384417 -1.3048392764469
"55017" 4.42524847704434 10.0454066089774
"8827" 13.9627474386533 1.5856125458079
"104884" -8.80757458071047 4.26850896221514
"133893" -1.4241826269867 -4.13797047758916
"50817" 4.40915990308174 -4.17051249539702
"65846" 1.20982141798547 -5.63222501354232
"36437" -8.99505123586706 -2.15038738995001
"23739" -2.89223551861784 1.62034258246119
"44880" -1.61485008944088 2.96652090114055
"100158" -2.70378670277036 -6.73385404947173
"100627" 16.2208322878017 6.27860073021654
"55125" 5.37799849949972 1.2926679339461
"153989" -7.65748639265446 -7.99880897262284
"175500" -15.2657941182277 -8.10350773826242
"124030" 19.7655387433842 10.6224372261213
"122659" 3.18458329826736 6.94079265267973
"104973" -0.762901771918401 8.1403579321896
"38763" -17.074099920732 -2.52768390355686
"177304" -7.13812991587714 -0.714042165833439
"36285" -13.9429800310494 -3.4161776711516
"73478" 1.78073371763843 -4.58030235419108
"120148" -9.27521588869556 2.15640376198623
"108497" 3.83660044543097 -2.96119821133248
"145155" 6.08375515552567 4.6619025313225
"47443" -3.1556234912873 -8.50336633455008
"145544" -4.54335629181018 8.23149683169303
"130142" -9.73964158977409 0.449202579110106
"175468" 6.24852642987171 -2.89624908597179
"63313" -0.643932689265365 10.9694861654783
"78640" -10.6067092923921 -4.1626457669364
"60821" -6.45976840057397 10.4311018394302
"168771" -7.38790696704794 4.24879170716105
"18016" 8.61113726521528 -1.44443355373371
"78193" -1.2206738441228 4.49367103864272
"87182" -2.11391928518437 3.00919170915861
"123157" -17.4336023883235 -4.60053094274316
"20413" 1.1979797999758 -6.24737067860391
"169396" -12.3146057117254 2.33521412922353
"66298" 0.444888810392141 12.0273347367215
"60123" 6.52926379890629 5.1394444348439
"95482" 0.823134109855579 -4.71583535424048
"21018" 0.482431393672111 -2.45098819460512
"145171" -5.92647307393484 3.78207147904043
"37339" -8.51120601331847 3.10113865784223
"173548" -0.493909094294703 4.78299692576551
"146288" 1.63997661954989 -2.35190672602275
"116764" -1.80754071918169 3.94324133322254
"93069" -1.38494124525746 -0.812883456367321
"53379" 9.36499905181181 -1.4696307743421
"141982" 0.06374622509561 4.97008066451108
"127781" 7.98782173959913 5.82237054295393
